region,p5_01_raw,p5_02_raw,p5_03_raw
Волинська,598.0,0.5511267333875864,0.05083668089753763
Вінницька,157.8,0.9571440948867497,0.012126705276656689
Дніпропетровська,1267.0,0.21779993745874013,0.019836778529798843
Донецька,105.4,0.142499546126514,0.017823868914281404
Житомирська,5633.74,1.3279810456363703,0.026730804572271373
Закарпатська,1672.0,0.5483910936220082,0.02071470822571807
Запорізька,214.49999999999997,0.2692833253081037,0.006925835172921265
Київська,777.4899999999999,0.6213545284434536,0.012676693469837538
Івано-Франківська,429.65,0.11751059804747373,0.055285712949640166
Кіровоградська,125.0,0.2653675599168741,0.038431597608589566
Луганська,215.34,0.3331023860651077,0.023193756183480727
Львівська,778.0,0.21345746316584416,0.0432018839371594
Миколаївська,185.29,0.36074129145587286,0.022662944141800152
Одеська,535.72,0.14025628058378978,0.014185568027619328
Полтавська,242.6,0.27319115364059754,0.0349073645123139
Рівненська,434.0,0.9510392724603777,0.05650781643138624
Сумська,99.59,0.8995112722686426,0.05509885797600072
Тернопільська,231.0,0.24312448531861527,0.06863604130796493
Харківська,29748.138,0.016316689736794315,0.019550151042495613
Херсонська,1026.6670000000001,0.2620137639455644,0.0
Хмельницька,126.0,0.9858878364621927,0.0236100065875514
Черкаська,114.2,0.6418570307384377,0.01893181607655507
Чернівецька,223.9,0.27974559202271676,0.10042344325058665
Чернігівська,52.494,0.9965019629350202,0.06564898543856912
